"Ruleset","Rule","Description","Priority"
"Unused Code","UnusedPrivateField","Detects when a private field is declared and/or assigned a value, but not used","3"
"Unused Code","UnusedLocalVariable","Detects when a local variable is declared and/or assigned, but not used","3"
"Unused Code","UnusedPrivateMethod","Unused Private Method detects when a private method is declared but is unused","3"
"Unused Code","UnusedFormalParameter","Avoid passing parameters to methods or constructors without actually referencing them in the method body","3"
"Unused Code","UnusedModifier","Fields in interfaces are automatically public static final, and methods are public abstract.Classes or interfaces nested in an interface are automatically public and static (all nested interfaces are automatically static).For historical reasons, modifiers which are implied by the context are accepted by the compiler, but are superfluous","3"
"Optimization","LocalVariableCouldBeFinal","A local variable assigned only once can be declared final","3"
"Optimization","MethodArgumentCouldBeFinal","A method argument that is never re-assigned within the method can be declared final","3"
"Optimization","AvoidInstantiatingObjectsInLoops","New objects created within loops should be checked to see if they can created outside them and reused","3"
"Optimization","UseArrayListInsteadOfVector","ArrayList is a much better Collection implementation than Vector if thread-safe operation is not required","3"
"Optimization","SimplifyStartsWith","Since it passes in a literal of length 1, calls to (string).startsWith can be rewritten using (string).charAt(0) at the expense of some readability","3"
"Optimization","UseStringBufferForStringAppends","The use of the '+=' operator for appending strings causes the JVM to create and use an internal StringBuffer.If a non-trivial number of these concatenations are being used then the explicit use of a StringBuilder or threadsafe StringBuffer is recommended to avoid this.","3"
"Optimization","UseArraysAsList","The java.util.Arrays class has a 'asList' method that should be used when you want to create a new List froman array of objects. It is faster than executing a loop to copy all the elements of the array one by one.","3"
"Optimization","AvoidArrayLoops","Instead of manually copying data between two arrays, use the efficient System.arraycopy method instead.","3"
"Optimization","UnnecessaryWrapperObjectCreation","Most wrapper classes provide static conversion methods that avoid the need to create intermediate objectsjust to create the primitive forms. Using these avoids the cost of creating objects that also need to be garbage-collected later.","3"
"Optimization","AddEmptyString","The conversion of literals to strings by concatenating them with empty strings is inefficient.It is much better to use one of the type-specific toString() methods instead.","3"
"Optimization","RedundantFieldInitializer","Java will initialize fields with known default values so any explicit initialization of those same defaultsis redundant and results in a larger class file (approximately three additional bytecode instructions per field).","3"
"Optimization","PrematureDeclaration","Checks for variables that are defined before they might be used. A reference is deemed to be premature if it is created right before a block of code that doesn't use it that also has the ability to return or throw an exception.","3"
"Basic","JumbledIncrementer","Avoid jumbled loop incrementers - its usually a mistake, and is confusing even if intentional.","3"
"Basic","ForLoopShouldBeWhileLoop","Some for loops can be simplified to while loops, this makes them more concise.","3"
"Basic","OverrideBothEqualsAndHashcode","Override both public boolean Object.equals(Object other), and public int Object.hashCode(), or override neither. Even if you are inheriting a hashCode() from a parent class, consider implementing hashCode and explicitly delegating to your superclass.","3"
"Basic","DoubleCheckedLocking","Partially created objects can be returned by the Double Checked Locking pattern when used in Java.An optimizing JRE may assign a reference to the baz variable before it creates the object thereference is intended to point to.For more details refer to 'http://www.javaworld.com/javaworld/jw-02-2001/jw-0209-double.html' or 'http://www.cs.umd.edu/~pugh/java/memoryModel/DoubleCheckedLocking.html'","1"
"Basic","ReturnFromFinallyBlock","Avoid returning from a finally block, this can discard exceptions.","3"
"Basic","UnconditionalIfStatement","Do not use 'if' statements whose conditionals are always true or always false.","3"
"Basic","BooleanInstantiation","Avoid instantiating Boolean objects; you can reference Boolean.TRUE, Boolean.FALSE, or call Boolean.valueOf() instead.","2"
"Basic","CollapsibleIfStatements","Sometimes two consecutive 'if' statements can be consolidated by separating their conditions with a boolean short-circuit operator.","3"
"Basic","ClassCastExceptionWithToArray","When deriving an array of a specific class from your Collection, one should provide an array ofthe same class as the parameter of the toArray() method. Doing otherwise you will will resultin a ClassCastException.","3"
"Basic","AvoidDecimalLiteralsInBigDecimalConstructor","One might assume that the result of 'new BigDecimal(0.1)'' is exactly equal to 0.1, but it is actuallyequal to .1000000000000000055511151231257827021181583404541015625. This is because 0.1 cannot be represented exactly as a double (or as a binary fraction of any finitelength). Thus, the long value that is being passed in to the constructor is not exactly equal to 0.1,appearances notwithstanding.The (String) constructor, on the other hand, is perfectly predictable 'new BigDecimal('0.1')' is exactly equal to 0.1, as one would expect. Therefore, it is generally recommended that the(String) constructor be used in preference to this one.","3"
"Basic","MisplacedNullCheck","The null check here is misplaced. If the variable is null a NullPointerException will be thrown.Either the check is useless (the variable will never be 'null') or it is incorrect.","3"
"Basic","AvoidThreadGroup","Avoid using java.lang.ThreadGroup; although it is intended to be used in a threaded environmentit contains methods that are not thread-safe.","3"
"Basic","BrokenNullCheck","The null check is broken since it will throw a NullPointerException itself.It is likely that you used || instead of && or vice versa.","2"
"Basic","BigIntegerInstantiation","Don't create instances of already existing BigInteger (BigInteger.ZERO, BigInteger.ONE) andfor Java 1.5 onwards, BigInteger.TEN and BigDecimal (BigDecimal.ZERO, BigDecimal.ONE, BigDecimal.TEN)","3"
"Basic","AvoidUsingOctalValues","Integer literals should not start with zero since this denotes that the rest of literal will beinterpreted as an octal value.","3"
"Basic","AvoidUsingHardCodedIP","Application with hard-coded IP addresses can become impossible to deploy in some cases.Externalizing IP adresses is preferable.","3"
"Basic","CheckResultSet","Always check the return values of navigation methods (next, previous, first, last) of a ResultSet.If the value return is 'false', it should be handled properly.","3"
"Basic","AvoidMultipleUnaryOperators","The use of multiple unary operators may be problematic, and/or confusing.Ensure that the intended usage is not a bug, or consider simplifying the expression.","2"
"Basic","ExtendsObject","No need to explicitly extend Object.","4"
"Basic","CheckSkipResult","The skip() method may skip a smaller number of bytes than requested. Check the returned value to find out if it was the case or not.","3"
"Basic","AvoidBranchingStatementAsLastInLoop","Using a branching statement as the last part of a loop may be a bug, and/or is confusing.Ensure that the usage is not a bug, or consider using another approach.","2"
"Basic","DontCallThreadRun","Explicitly calling Thread.run() method will execute in the caller's thread of control. Instead, call Thread.start() for the intended behavior.","4"
"Basic","DontUseFloatTypeForLoopIndices","Don't use floating point for loop indices. If you must use floating point, use doubleunless you're certain that float provides enough precision and you have a compellingperformance need (space or time).","3"
"Basic","SimplifiedTernary","Look for ternary operators with the form condition ? literalBoolean : fooor condition ? foo : literalBoolean.These expressions can be simplified respectively tocondition || foo when the literalBoolean is true!condition && foo when the literalBoolean is falseor!condition || foo when the literalBoolean is truecondition && foo when the literalBoolean is false","3"
"Design","UseUtilityClass","For classes that only have static methods, consider making them utility classes.Note that this doesn't apply to abstract classes, since their subclasses maywell include non-static methods. Also, if you want this class to be a utility class,remember to add a private constructor to prevent instantiation.(Note, that this use was known before PMD 5.1.0 as UseSingleton).","3"
"Design","SimplifyBooleanReturns","Avoid unnecessary if-then-else statements when returning a boolean. The result ofthe conditional test can be returned instead.","3"
"Design","SimplifyBooleanExpressions","Avoid unnecessary comparisons in boolean expressions, they serve no purpose and impacts readability.","3"
"Design","SwitchStmtsShouldHaveDefault","All switch statements should include a default option to catch any unspecified values.","3"
"Design","AvoidDeeplyNestedIfStmts","Avoid creating deeply nested if-then statements since they are harder to read and error-prone to maintain.","3"
"Design","AvoidReassigningParameters","Reassigning values to incoming parameters is not recommended. Use temporary local variables instead.","2"
"Design","SwitchDensity","A high ratio of statements to labels in a switch statement implies that the switch statement is overloaded. Consider moving the statements into new methods or creating subclasses based on the switch variable.","3"
"Design","ConstructorCallsOverridableMethod","Calling overridable methods during construction poses a risk of invoking methods on an incompletely constructed object and can be difficult to debug.It may leave the sub-class unable to construct its superclass or forced to replicate the construction process completely within itself, losing the ability to call super(). If the default constructor contains a call to an overridable method, the subclass may be completely uninstantiable. Note that this includes method calls throughout the control flow graph - i.e., if a constructor Foo() calls a private method bar() that calls a public method buz(), this denotes a problem.","1"
"Design","AccessorClassGeneration","Instantiation by way of private constructors from outside of the constructor's class often causes the generation of an accessor. A factory method, or non-privatization of the constructor can eliminate this situation. The generated class file is actually an interface. It gives the accessing class the ability to invoke a new hidden package scope constructor that takes the interface as a supplementary parameter. This turns a private constructor effectively into one with package scope, and is challenging to discern.","3"
"Design","FinalFieldCouldBeStatic","If a final field is assigned to a compile-time constant, it could be made static, thus saving overhead in each object at runtime.","3"
"Design","CloseResource","Ensure that resources (like Connection, Statement, and ResultSet objects) are always closed after use.","3"
"Design","NonStaticInitializer","A non-static initializer block will be called any time a constructor is invoked (just prior to invoking the constructor). While this is a valid language construct, it is rarely used and is confusing.","3"
"Design","DefaultLabelNotLastInSwitchStmt","By convention, the default label should be the last label in a switch statement.","3"
"Design","NonCaseLabelInSwitchStatement","A non-case label (e.g. a named break/continue label) was present in a switch statement.This legal, but confusing. It is easy to mix up the case labels and the non-case labels.","3"
"Design","OptimizableToArrayCall","Calls to a collection's toArray() method should specify target arrays sized to match the size of thecollection. Initial arrays that are too small are discarded in favour of new ones that have to be createdthat are the proper size.","3"
"Design","BadComparison","Avoid equality comparisons with Double.NaN. Due to the implicit lack of representationprecision when comparing floating point numbers these are likely to cause logic errors.","3"
"Design","EqualsNull","Tests for null should not use the equals() method. The '==' operator should be used instead.","1"
"Design","ConfusingTernary","Avoid negation within an 'if' expression with an 'else' clause. For example, rephrase: if (x != y) diff(); else same();as: if (x == y) same(); else diff();Most 'if (x != y)'' cases without an 'else' are often return cases, so consistent use of this rule makes the code easier to read. Also, this resolves trivial ordering problems, suchas 'does the error case go first?'' or 'does the common case go first?'.","3"
"Design","InstantiationToGetClass","Avoid instantiating an object just to call getClass() on it; use the .class public member instead.","4"
"Design","IdempotentOperations","Avoid idempotent operations - they have no effect.","3"
"Design","SimpleDateFormatNeedsLocale","Be sure to specify a Locale when creating SimpleDateFormat instances to ensure that locale-appropriateformatting is used.","3"
"Design","ImmutableField","Identifies private fields whose values never change once they are initialized either in the declaration of the field or by a constructor. This helps in converting existing classes to becoming immutable ones.","3"
"Design","UseLocaleWithCaseConversions","When doing String.toLowerCase()/toUpperCase() conversions, use Locales to avoids problems with languages thathave unusual conventions, i.e. Turkish.","3"
"Design","AvoidProtectedFieldInFinalClass","Do not use protected fields in final classes since they cannot be subclassed.Clarify your intent by using private or package access modifiers instead.","3"
"Design","AssignmentToNonFinalStatic","Identifies a possible unsafe usage of a static field.","3"
"Design","MissingStaticMethodInNonInstantiatableClass","A class that has private constructors and does not have any static methods or fields cannot be used.","3"
"Design","AvoidSynchronizedAtMethodLevel","Method-level synchronization can cause problems when new code is added to the method. Block-level synchronization helps to ensure that only the code that needs synchronization gets it.","3"
"Design","MissingBreakInSwitch","Switch statements without break or return statements for each case optionmay indicate problematic behaviour. Empty cases are ignored as these indicate an intentional fall-through.","3"
"Design","UseNotifyAllInsteadOfNotify","Thread.notify() awakens a thread monitoring the object. If more than one thread is monitoring, then onlyone is chosen. The thread chosen is arbitrary; thus its usually safer to call notifyAll() instead.","3"
"Design","AvoidInstanceofChecksInCatchClause","Each caught exception type should be handled in its own catch clause.","3"
"Design","AbstractClassWithoutAbstractMethod","The abstract class does not contain any abstract methods. An abstract class suggestsan incomplete implementation, which is to be completed by subclasses implementing theabstract methods. If the class is intended to be used as a base class only (not to be instantiateddirectly) a protected constructor can be provided prevent direct instantiation.","3"
"Design","SimplifyConditional","No need to check for null before an instanceof; the instanceof keyword returns false when given a null argument.","3"
"Design","CompareObjectsWithEquals","Use equals() to compare object references; avoid comparing them with ==.","3"
"Design","PositionLiteralsFirstInComparisons","Position literals first in comparisons, if the second argument is null then NullPointerExceptions can be avoided, they will just return false.","3"
"Design","PositionLiteralsFirstInCaseInsensitiveComparisons","Position literals first in comparisons, if the second argument is null then NullPointerExceptions can be avoided, they will just return false.","3"
"Design","UnnecessaryLocalBeforeReturn","Avoid the creation of unnecessary local variables","3"
"Design","NonThreadSafeSingleton","Non-thread safe singletons can result in bad state changes. Eliminatestatic singletons if possible by instantiating the object directly. Staticsingletons are usually not needed as only a single instance exists anyway.Other possible fixes are to synchronize the entire method or to use aninitialize-on-demand holder class (do not use the double-check idiom).See Effective Java, item 48.","3"
"Design","SingleMethodSingleton","Some classes contain overloaded getInstance. The problem with overloaded getInstance methodsis that the instance created using the overloaded method is not cached and so, for each call and new objects will be created for every invocation.","2"
"Design","SingletonClassReturningNewInstance","Some classes contain overloaded getInstance. The problem with overloaded getInstance methodsis that the instance created using the overloaded method is not cached and so, for each call and new objects will be created for every invocation.","2"
"Design","UncommentedEmptyMethodBody","Uncommented Empty Method Body finds instances where a method body does not containstatements, but there is no comment. By explicitly commenting empty method bodiesit is easier to distinguish between intentional (commented) and unintentionalempty methods.","3"
"Design","UncommentedEmptyConstructor","Uncommented Empty Constructor finds instances where a constructor does notcontain statements, but there is no comment. By explicitly commenting emptyconstructors it is easier to distinguish between intentional (commented)and unintentional empty constructors.","3"
"Design","AvoidConstantsInterface","An interface should be used only to characterize the external behaviour of an implementing class using an interface as a container of constants is a poor usage pattern and not recommended.","3"
"Design","UnsynchronizedStaticDateFormatter","SimpleDateFormat instances are not synchronized. Sun recommends using separate format instancesfor each thread. If multiple threads must access a static formatter, the formatter must be synchronized either on method or block level.","3"
"Design","PreserveStackTrace","Throwing a new exception from a catch block without passing the original exception into thenew exception will cause the original stack trace to be lost making it difficult to debug effectively.","3"
"Design","UseCollectionIsEmpty","The isEmpty() method on java.util.Collection is provided to determine if a collection has any elements.Comparing the value of size() to 0 does not convey intent as well as the isEmpty() method.","3"
"Design","ClassWithOnlyPrivateConstructorsShouldBeFinal","A class with only private constructors should be final, unless the private constructor is invoked by a inner class.","1"
"Design","EmptyMethodInAbstractClassShouldBeAbstract","Empty methods in an abstract class should be tagged as abstract. This helps to remove their inapproprate usage by developers who should be implementing their own versions in the concrete subclasses.","1"
"Design","SingularField","Fields whose scopes are limited to just single methods do not rely on the containingobject to provide them to other methods. They may be better implemented as local variableswithin those methods.","3"
"Design","ReturnEmptyArrayRatherThanNull","For any method that returns an array, it is a better to return an empty array rather than a null reference. This removes the need for null checking all results and avoids inadvertentNullPointerExceptions.","1"
"Design","AbstractClassWithoutAnyMethod","If an abstract class does not provides any methods, it may be acting as a simple data container that is not meant to be instantiated. In this case, it is probably better to use a private or protected constructor in order to prevent instantiation than make the class misleadingly abstract.","1"
"Design","TooFewBranchesForASwitchStatement","Switch statements are indended to be used to support complex branching behaviour. Using a switch for only a few cases is ill-advised, since switches are not as easy to understand as if-then statements. In these cases use theif-then statement to increase code readability.","3"
"Design","LogicInversion","Use opposite operator instead of negating the whole expression with a logic complement operator.","3"
