"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","3","Header comments are required","Documentation","CommentRequired"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","4","Field comments are required","Documentation","CommentRequired"
"4","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","4","To avoid mistakes add a comment at the beginning of the scan field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"5","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","4","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"6","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","5","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","5","Public method and constructor comments are required","Documentation","CommentRequired"
"8","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","6","Local variable 'orderingTheSoldiers' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","12","To avoid mistakes add a comment at the beginning of the ExecuteTestCases method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"10","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","12","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"11","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","15","Local variable 'numberOfSoldiers' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","16","Local variable 'commandsObserverdByGeneral' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","23","Parameter 'movements' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","23","Parameter 'numberOfSoldiers' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","23","To avoid mistakes add a comment at the beginning of the FindInitialPositionOfSoldiers method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"16","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","23","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"17","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","24","Local variable 'soldiersArray' could be declared final","Code Style","LocalVariableCouldBeFinal"
"18","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","25","Local variable 'limit' could be declared final","Code Style","LocalVariableCouldBeFinal"
"19","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","27","Local variable 'initialIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","2","34","Avoid reassigning parameters such as 'initialIndex'","Best Practices","AvoidReassigningParameters"
"21","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","34","Parameter 'arrayOfSolds' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"22","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","34","Parameter 'destIndex' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"23","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","34","To avoid mistakes add a comment at the beginning of the ChangeArray method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"24","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","34","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"25","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","41","Parameter 'index1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"26","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","41","Parameter 'index2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"27","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","41","To avoid mistakes add a comment at the beginning of the SwapFunction method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"28","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","41","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"29","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","42","Local variable 'helperVariable' could be declared final","Code Style","LocalVariableCouldBeFinal"
"30","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","47","To avoid mistakes add a comment at the beginning of the GetInteger method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"31","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","47","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"32","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","51","Parameter 'sizeOfArray' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"33","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","51","To avoid mistakes add a comment at the beginning of the GetArray method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"34","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","51","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"35","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","52","Found 'DD'-anomaly for variable 'newArray' (lines '52'-'54').","Error Prone","DataflowAnomalyAnalysis"
"36","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","54","Found 'DD'-anomaly for variable 'newArray' (lines '54'-'54').","Error Prone","DataflowAnomalyAnalysis"
"37","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","60","Parameter 'soldiers' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"38","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","60","To avoid mistakes add a comment at the beginning of the MakeSoldiersArray method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"39","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","3","60","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"40","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","61","Found 'DD'-anomaly for variable 'soldiersArray' (lines '61'-'64').","Error Prone","DataflowAnomalyAnalysis"
"41","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","62","Found 'DU'-anomaly for variable 'number' (lines '62'-'69').","Error Prone","DataflowAnomalyAnalysis"
"42","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","64","Found 'DD'-anomaly for variable 'soldiersArray' (lines '64'-'64').","Error Prone","DataflowAnomalyAnalysis"
"43","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy8/16920883.java","5","65","Found 'DU'-anomaly for variable 'number' (lines '65'-'69').","Error Prone","DataflowAnomalyAnalysis"
