"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","5","headerCommentRequirement Required","Comments","CommentRequired"
"2","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","6","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","7","To avoid mistakes add a comment at the beginning of the scan field if you want a default access modifier","Comments","CommentDefaultAccessModifier"
"4","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","7","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"5","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","7","fieldCommentRequirement Required","Comments","CommentRequired"
"6","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","9","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","11","Local variable 'M' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","12","Local variable 'N' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","14","Avoid unused local variables such as 'p'.","Unused Code","UnusedLocalVariable"
"10","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","5","14","Found 'DD'-anomaly for variable 'num' (lines '14'-'17').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","5","14","Found 'DU'-anomaly for variable 'num' (lines '14'-'28').","Controversial","DataflowAnomalyAnalysis"
"12","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","5","14","Found 'DU'-anomaly for variable 'p' (lines '14'-'28').","Controversial","DataflowAnomalyAnalysis"
"13","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","14","Local variable 'p' could be declared final","Optimization","LocalVariableCouldBeFinal"
"14","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","4","14","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"15","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","15","Local variable 'idades' could be declared final","Optimization","LocalVariableCouldBeFinal"
"16","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\F\Main.java","3","25","Avoid using for statements without curly braces","Braces","ForLoopsMustUseBraces"
