"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","3","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","3","headerCommentRequirement Required","Comments","CommentRequired"
"3","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","4","5","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"4","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","5","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","5","publicMethodCommentRequirement Required","Comments","CommentRequired"
"6","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","6","Local variable 'in' could be declared final","Optimization","LocalVariableCouldBeFinal"
"7","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","5","7","Found 'DD'-anomaly for variable 'age' (lines '7'-'9').","Controversial","DataflowAnomalyAnalysis"
"8","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","5","7","Found 'DD'-anomaly for variable 'i' (lines '7'-'7').","Controversial","DataflowAnomalyAnalysis"
"9","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","5","7","Found 'DU'-anomaly for variable 'age' (lines '7'-'15').","Controversial","DataflowAnomalyAnalysis"
"10","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","5","7","Found 'DU'-anomaly for variable 'threshold' (lines '7'-'15').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","7","Local variable 'ages' could be declared final","Optimization","LocalVariableCouldBeFinal"
"12","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","7","Local variable 'threshold' could be declared final","Optimization","LocalVariableCouldBeFinal"
"13","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","4","7","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"14","","C:\Users\Daniel\IdeaProjects\ProgrammerProfiler\ExerciseExamples\Ex2_P2_Idades\Z\ExIdades_Z.java","3","10","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
