"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","3","headerCommentRequirement Required","Comments","CommentRequired"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","4","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","5","Parameter 'n' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","5","publicMethodCommentRequirement Required","Comments","CommentRequired"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","6","Found 'DD'-anomaly for variable 'arr' (lines '6'-'12').","Controversial","DataflowAnomalyAnalysis"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","6","Found 'DU'-anomaly for variable 'arr' (lines '6'-'21').","Controversial","DataflowAnomalyAnalysis"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","7","Avoid unused local variables such as 'n2'.","Unused Code","UnusedLocalVariable"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","7","Found 'DD'-anomaly for variable 'contaP' (lines '7'-'18').","Controversial","DataflowAnomalyAnalysis"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","7","Found 'DD'-anomaly for variable 'i' (lines '7'-'9').","Controversial","DataflowAnomalyAnalysis"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","7","Found 'DU'-anomaly for variable 'n2' (lines '7'-'21').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","7","Local variable 'n2' could be declared final","Optimization","LocalVariableCouldBeFinal"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","4","7","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","8","Found 'DU'-anomaly for variable 'scan' (lines '8'-'21').","Controversial","DataflowAnomalyAnalysis"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","8","Local variable 'scan' could be declared final","Optimization","LocalVariableCouldBeFinal"
"15","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","12","Found 'DD'-anomaly for variable 'arr' (lines '12'-'12').","Controversial","DataflowAnomalyAnalysis"
"16","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","12","Found 'DU'-anomaly for variable 'arr' (lines '12'-'21').","Controversial","DataflowAnomalyAnalysis"
"17","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","3","17","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"18","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Aluno27\EX3.java","5","18","Found 'DD'-anomaly for variable 'contaP' (lines '18'-'18').","Controversial","DataflowAnomalyAnalysis"
