"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","3","headerCommentRequirement Required","Comments","CommentRequired"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","4","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","5","To avoid mistakes add a comment at the beginning of the scan field if you want a default access modifier","Comments","CommentDefaultAccessModifier"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","5","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","5","fieldCommentRequirement Required","Comments","CommentRequired"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","7","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","9","Local variable 'n' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","10","Found 'DD'-anomaly for variable 'vec' (lines '10'-'14').","Controversial","DataflowAnomalyAnalysis"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","10","Found 'DU'-anomaly for variable 'vec' (lines '10'-'21').","Controversial","DataflowAnomalyAnalysis"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","14","Found 'DD'-anomaly for variable 'vec' (lines '14'-'14').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","14","Found 'DU'-anomaly for variable 'vec' (lines '14'-'21').","Controversial","DataflowAnomalyAnalysis"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","16","Found 'DD'-anomaly for variable 'pares' (lines '16'-'18').","Controversial","DataflowAnomalyAnalysis"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","3","18","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\FranciscoLira\Main.java","5","18","Found 'DD'-anomaly for variable 'pares' (lines '18'-'18').","Controversial","DataflowAnomalyAnalysis"
