"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","6","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","6","headerCommentRequirement Required","Comments","CommentRequired"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","4","8","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","5","8","Found 'UR'-anomaly for variable 'item' (lines '8'-'22').","Controversial","DataflowAnomalyAnalysis"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","8","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","8","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","10","Local variable 'input' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","13","Local variable 'lista' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","13","Use ArrayList instead of Vector","Optimization","UseArrayListInsteadOfVector"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","5","20","Found 'DD'-anomaly for variable 'nPares' (lines '20'-'22').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","3","21","Local variable 'item' could be declared final","Optimization","LocalVariableCouldBeFinal"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Marcos\A1_Marcos.java","5","22","Found 'DD'-anomaly for variable 'nPares' (lines '22'-'22').","Controversial","DataflowAnomalyAnalysis"
