"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","3","11","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","4","13","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"3","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","3","13","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"4","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","3","13","publicMethodCommentRequirement Required","Comments","CommentRequired"
"5","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","3","14","Local variable 'in' could be declared final","Optimization","LocalVariableCouldBeFinal"
"6","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","16","Found 'DD'-anomaly for variable 'N' (lines '16'-'18').","Controversial","DataflowAnomalyAnalysis"
"7","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","16","Found 'DD'-anomaly for variable 'cont' (lines '16'-'28').","Controversial","DataflowAnomalyAnalysis"
"8","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","4","16","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"9","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","20","Found 'DD'-anomaly for variable 'vec' (lines '20'-'23').","Controversial","DataflowAnomalyAnalysis"
"10","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","20","Found 'DU'-anomaly for variable 'vec' (lines '20'-'33').","Controversial","DataflowAnomalyAnalysis"
"11","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","23","Found 'DD'-anomaly for variable 'vec' (lines '23'-'23').","Controversial","DataflowAnomalyAnalysis"
"12","ex1_arrays","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Prof\A1_Prof.java","5","23","Found 'DU'-anomaly for variable 'vec' (lines '23'-'33').","Controversial","DataflowAnomalyAnalysis"
