"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","4","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","4","headerCommentRequirement Required","Comments","CommentRequired"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","4","6","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","5","6","Found 'UR'-anomaly for variable 'number' (lines '6'-'15').","Controversial","DataflowAnomalyAnalysis"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","6","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","6","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","8","Local variable 'in' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","5","9","Found 'DD'-anomaly for variable 'evens' (lines '9'-'15').","Controversial","DataflowAnomalyAnalysis"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","9","Local variable 'size' could be declared final","Optimization","LocalVariableCouldBeFinal"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","4","9","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","5","10","Found 'DD'-anomaly for variable 'numbers' (lines '10'-'12').","Controversial","DataflowAnomalyAnalysis"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","12","Avoid using for statements without curly braces","Braces","ForLoopsMustUseBraces"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","5","12","Found 'DD'-anomaly for variable 'numbers' (lines '12'-'12').","Controversial","DataflowAnomalyAnalysis"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","14","Local variable 'number' could be declared final","Optimization","LocalVariableCouldBeFinal"
"15","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","3","15","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"16","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex3_A1_Arrays\Ze\A1_Ze.java","5","15","Found 'DD'-anomaly for variable 'evens' (lines '15'-'15').","Controversial","DataflowAnomalyAnalysis"
