"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","4","headerCommentRequirement Required","Comments","CommentRequired"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","5","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","7","publicMethodCommentRequirement Required","Comments","CommentRequired"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","8","Local variable 's' could be declared final","Optimization","LocalVariableCouldBeFinal"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","9","Found 'DD'-anomaly for variable 'sub_cad' (lines '9'-'12').","Controversial","DataflowAnomalyAnalysis"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","10","Found 'DD'-anomaly for variable 'cad' (lines '10'-'14').","Controversial","DataflowAnomalyAnalysis"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","15","Found 'DU'-anomaly for variable 'tamanho' (lines '15'-'34').","Controversial","DataflowAnomalyAnalysis"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","15","Local variable 'tamanho' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","16","Local variable 'tamanho2' could be declared final","Optimization","LocalVariableCouldBeFinal"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","17","Found 'DD'-anomaly for variable 'resultado' (lines '17'-'27').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","18","Found 'DD'-anomaly for variable 'contagem' (lines '18'-'24').","Controversial","DataflowAnomalyAnalysis"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","18","Found 'DU'-anomaly for variable 'contagem' (lines '18'-'34').","Controversial","DataflowAnomalyAnalysis"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","19","Found 'DD'-anomaly for variable 'k' (lines '19'-'28').","Controversial","DataflowAnomalyAnalysis"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","19","Found 'DU'-anomaly for variable 'k' (lines '19'-'34').","Controversial","DataflowAnomalyAnalysis"
"15","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","24","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"16","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","24","Found 'DD'-anomaly for variable 'contagem' (lines '24'-'24').","Controversial","DataflowAnomalyAnalysis"
"17","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","4","24","Useless parentheses.","Unnecessary","UselessParentheses"
"18","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","25","Found 'DD'-anomaly for variable 'k' (lines '25'-'28').","Controversial","DataflowAnomalyAnalysis"
"19","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","3","27","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"20","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","27","Found 'DD'-anomaly for variable 'resultado' (lines '27'-'27').","Controversial","DataflowAnomalyAnalysis"
"21","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","28","Found 'DD'-anomaly for variable 'contagem' (lines '28'-'24').","Controversial","DataflowAnomalyAnalysis"
"22","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","28","Found 'DD'-anomaly for variable 'k' (lines '28'-'28').","Controversial","DataflowAnomalyAnalysis"
"23","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Aluno30\Exercicios.java","5","28","Found 'DU'-anomaly for variable 'contagem' (lines '28'-'34').","Controversial","DataflowAnomalyAnalysis"
