"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","2","Comment is too large: Line too long","Comments","CommentSize"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","3","Comment is too large: Line too long","Comments","CommentSize"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","10","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","10","headerCommentRequirement Required","Comments","CommentRequired"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","4","12","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","12","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","12","publicMethodCommentRequirement Required","Comments","CommentRequired"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","14","Local variable 'sc' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","16","Local variable 'str' could be declared final","Optimization","LocalVariableCouldBeFinal"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Daniel\Cadeia_Daniel.java","3","18","Local variable 'substr' could be declared final","Optimization","LocalVariableCouldBeFinal"
