"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","3","headerCommentRequirement Required","Comments","CommentRequired"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","4","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","5","To avoid mistakes add a comment at the beginning of the scan field if you want a default access modifier","Comments","CommentDefaultAccessModifier"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","5","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","5","fieldCommentRequirement Required","Comments","CommentRequired"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","7","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","9","Local variable 'cadeia' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","11","Local variable 'sub' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","12","Found 'DU'-anomaly for variable 'tam' (lines '12'-'29').","Controversial","DataflowAnomalyAnalysis"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","12","Local variable 'tam' could be declared final","Optimization","LocalVariableCouldBeFinal"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","13","Found 'DD'-anomaly for variable 'count' (lines '13'-'21').","Controversial","DataflowAnomalyAnalysis"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","13","Found 'DD'-anomaly for variable 'i' (lines '13'-'16').","Controversial","DataflowAnomalyAnalysis"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","13","Found 'DD'-anomaly for variable 'index' (lines '13'-'15').","Controversial","DataflowAnomalyAnalysis"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","13","Found 'DU'-anomaly for variable 'i' (lines '13'-'29').","Controversial","DataflowAnomalyAnalysis"
"15","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","13","Found 'DU'-anomaly for variable 'index' (lines '13'-'29').","Controversial","DataflowAnomalyAnalysis"
"16","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","4","13","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"17","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","21","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"18","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","5","21","Found 'DD'-anomaly for variable 'count' (lines '21'-'21').","Controversial","DataflowAnomalyAnalysis"
"19","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\FranciscoLira\Main.java","3","24","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
