"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","3","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","3","headerCommentRequirement Required","Comments","CommentRequired"
"3","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","4","4","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"4","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","4","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","4","publicMethodCommentRequirement Required","Comments","CommentRequired"
"6","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","5","Local variable 'in' could be declared final","Optimization","LocalVariableCouldBeFinal"
"7","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","5","6","Found 'DD'-anomaly for variable 'c' (lines '6'-'13').","Controversial","DataflowAnomalyAnalysis"
"8","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","8","Local variable 'sub' could be declared final","Optimization","LocalVariableCouldBeFinal"
"9","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","9","Local variable 'whole' could be declared final","Optimization","LocalVariableCouldBeFinal"
"10","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","5","10","Found 'DU'-anomaly for variable 'subFirst' (lines '10'-'17').","Controversial","DataflowAnomalyAnalysis"
"11","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","10","Local variable 'subFirst' could be declared final","Optimization","LocalVariableCouldBeFinal"
"12","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","13","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"13","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","5","13","Found 'DD'-anomaly for variable 'c' (lines '13'-'13').","Controversial","DataflowAnomalyAnalysis"
"14","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","2","19","Avoid reassigning parameters such as 'j'","Design","AvoidReassigningParameters"
"15","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","19","Parameter 'sub' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","19","Parameter 'whole' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"17","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","21","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
"18","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","22","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"19","","C:\Users\Daniel\Documents\Tese\SourceFiles\SimpleExercises\Ex4_S1_Cadeia\Vitor\Cadeia_Vitor.java","3","22","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
